doi,title,abstract,journal,publisher,label,reason,extra
10.1016/j.mtphys.2021.100565,Understanding the Effect of Antisolvent on Processing Window and Efficiency for Large-area Flexible Perovskite Solar Cells,"One-step method assisted by antisolvent is the most useful strategy to fabricate perovskite solar cells (PSCs) with high power conversion efficiency (PCE). Nevertheless, the narrow processing window and strict solvent ratio limit the preparation of large-area and uniform perovskite films. Herein, by thorough in-depth study of the interaction between solvents and antisolvents in the film preparation process, we found that the typical dimethylformamide solvent plays an important role in the antisolvent washing process. We demonstrate a solvent-antisolvent interaction model to understand the originality of the narrow processing window and solvent ratio based on chlorobenzene. Here, a green antisolvent e Ethyl Methyl Carbonate is introduced to widen a processing window from 2s to 35s and extend the volume ratio of dimethylformamide: dimethyl sulfoxide varying from 7:3 to 0:10 in the precursor solution. The obtained PSCs show a remarkable efficiency of 22.08% on rigid substrates, and 19.14% on flexible substrates. In a parallel effort, we demonstrate a uniform and large-area (6 6 cm2) flexible perovskite solar cell, exhibiting the highest PCE of 18.60%. © 2021 Elsevier Ltd. All rights reserved.",Materials Today Physics,Elsevier BV,False,does not specify single-junction PSCs,False
10.1038/s41560-021-00966-8,Monolithic perovskite/organic tandem solar cells with 23.6% efficiency enabled by reduced voltage losses and optimized interconnecting layer,"Articles
https://doi.org/10.1038/s41560-021-00966-8
1Department of Physics, The University of Hong Kong, Pokfulam, Hong Kong SAR. 2Department of Materials Science and Engineering, Southern University of 
Science and Technology, Shenzhen, PR China. 3Department of Chemical and Biomolecular Engineering, National University of Singapore, Singapore, Singapore. 
4Solar Energy Research Institute of Singapore (SERIS), National University of Singapore, Singapore, Singapore. 5Department of Chemistry, The Hong Kong 
University of Science and Technology, Clear Water Bay, Kowloon, Hong Kong SAR. 6Department of Mechanical Engineering, National University of Singapore, 
Singapore, Singapore. 7Department of Physics, Southern University of Science and Technology, Shenzhen, PR China. 8These authors contributed equally:  
Wei Chen, Yudong Zhu. ✉e-mail: hezb@sustech.edu.cn; dalek@hku.hk; yi.hou@nus.edu.sg
T
he potential of exceeding the Shockley–Queisser (S–Q) 
limit has stimulated intense interest in developing tandem 
solar cells (TSCs)1–4. Perovskite materials have broad band-
gap tunability (~1.17–3.10 eV), which makes them an ideal choice 
as both front and bottom subcells in a TSC2,5,6. Perovskite/Si TSCs 
have achieved the highest power conversion efficiency (PCE) of 
29.5% among perovskite-based TSCs7,8, which mainly target util-
ity applications. Meanwhile, thin-film-based tandems (for example, 
perovskite/perovskite TSCs; perovskite/copper indium gallium sel-
enide (CIGS) TSCs; and perovskite/organic thin-film TSCs) have 
great potential for high-throughput and cost-effective production of 
flexible and lightweight TSCs and thus are promising for integrated 
photovoltaics applications9.
Perovskite/org",Nature Energy,Nature Portfolio,False,tandem multi-junction solar cell study,False
10.1021/acsaem.2c01749,Metal-Free Interconnecting Layer for Monolithic Perovskite/Organic Tandem Solar Cells with Enhanced Outdoor Stability,"Photovoltaics with monolithically connected tandem architectures have the potential to achieve high efficiencies owing to enhanced spectral absorption and reduced thermal losses. To achieve this, photoactive layers with complementary absorption and interconnecting layers, which are robust, transparent, and energetically suitable, are essential. Here, we investigate a strategy to create an efficient, highly transparent, ohmic, and chemically robust interconnecting layer based on atomic layer-deposited tin oxide (SnO 2 ) and solution-processed diluted poly(3,4-ethylenedioxythiophene):polystyrene sulfonate (PEDOT:PSS), eliminating the need of widely reported parasitically absorbing metal recombination layers. Monolithic perovskite/organic tandem devices built on a metal-free interface (SnO 2 /PEDOT:PSS) compared to its counterpart (SnO 2 /metal/PEDOT:PSS) show no significant difference in PCE, but a remarkable enhancement in photostability. Furthermore, tandem solar cells were tested under outdoor conditions for 2 weeks, showing improved stability and solar power conversion than single-junction perovskite and organic devices, underscoring the potential of monolithic tandem solar cells.",ACS Applied Energy Materials,American Chemical Society,False,"Tandem perovskite/organic device, not single-junction",False
10.1016/j.energy.2023.127976,Conductance is responsible for the power conversion efficiency of solar cell,"Energy 278 (2023) 127976
Available online 30 May 2023
0360-5442/© 2023 Elsevier Ltd. All rights reserved.
Conductance is responsible for the power conversion efficiency of solar cell 
Yang Lan a, Liu Changshi b,* 
a Department of Physics, Jimei University, Xiamen 361021, PR China 
b College of Information Science and Engineering, Jiaxing University, Zhejiang, 314001, PR China   
A R T I C L E I N F O  
Handling Editor: A Mellit  
Keywords: 
Solar cell 
Model 
Power conversion efficiency 
Conductance 
A B S T R A C T  
Many attempts were made in solar energy to find advanced solar energy technology for solar cell which is with 
high power conversion efficiency; calculation output current by output voltage using a model of solar cells is very 
useful for this major aim. Although there are many models can be used to estimate current via voltage from solar 
cells, no one parameter in the models is a correlation to power conversion efficiency. One simplification of single 
diode model is proposed in this paper. Not only this model is in form of explicit function, but also one parameter 
as parallel conductance is correlation to power conversion efficiency. The accuracy of the proposed model is 
evaluated using thirty experimental data. It was found that in all experimental cases, very good match between 
measured and calculated is reached. The first important result indicates that power conversion efficiency in­
dependent on solar cell connection in series due to parallel conductance independent on solar cell connection in 
series. The",Energy,Elsevier BV,False,"Modeling study, no experimental PSC fabrication",False
10.1039/d2ra00595f,"Optoelectronic properties and interfacial interactions of two-dimensional Cs
                    <sub>2</sub>
                    PbX
                    <sub>4</sub>
                    –MSe
                    <sub>2</sub>
                    (M = Mo, W) heterostructures","Optoelectronic properties and interfacial
interactions of two-dimensional Cs2PbX4–MSe2
(M ¼ Mo, W) heterostructures
Ying Jie Chen,ab Xue Li,b Bao Nan Jia,b Chao Dong,b Xiao Ning Guan,
*bd Xin Zhaoa
and Li Hong Han*abc
Constructing 2D inorganic perovskites and TMDs heterostructures is an eﬀective method to design stable
and high-performance perovskites optoelectronic applications. Here, we investigate the optoelectronic
properties and interfacial interactions of Cs2PbX4–MSe2 (X ¼ Cl, Br, I; M ¼ Mo, W) heterostructures using
ﬁrst-principles calculations. Firstly, six Cs2PbX4–MSe2 interfaces remain stable in energy. With the
halogen varying from Cl to I, the interlayer distances of Cs2PbX4–MSe2 heterostructures increase rapidly.
The CBM and VBM of monolayer Cs2PbX4 are all higher than that of monolayer MSe2 and the charges
transfer
from
Cs2PbX4
interfaces
to
MSe2
interfaces
when
they
contact.
Both
Cs2PbX4–MSe2
heterostructures are type-II heterostructures, which can drive the photogenerated electrons and holes
to move in opposite directions. What's more, Cs2PbCl4–MoSe2 heterostructures exhibit the highest
charge
transport
eﬃciency
among
Cs2PbX4–MoSe2
heterostructures
because
Cs2PbCl4–MoSe2
heterostructures have the lowest exciton binding energies among Cs2PbX4–MSe2 heterostructures. In
addition, the optical absorptions of all heterostructures are signiﬁcantly higher than the corresponding
Cs2PbX4 monolayers and MSe2 monolayers. The construction of Cs2PbX4–MoSe2 heterostructures is
beneﬁcial for improving the photoelectric performance of two-dimensional perovskite devices. Lastly,
we found that the Cs2PbI4–WSe2 heterostructure has the largest PCE (18%) among Cs2PbX4–MSe2
heterostructures.
The
Cs2PbCl4–MoSe2
hete",RSC Advances,Royal Society of Chemistry (RSC),False,"Computational study, no experimental PSC fabrication",False
10.1016/j.solener.2020.07.059,Efficient carrier utilization induced by conductive polypyrrole additives in organic-inorganic halide perovskite solar cells,"Abstract The morphology of the perovskite layer, the effective extraction of the charge carriers, and their transport are the main factors determining the power conversion efficiency (PCE) of the perovskite solar cells (PSCs). In this work, we demonstrated that the geometric and electronic structures of the PSCs could be modified by using a conductive polymer additive in the lead (Pb) halide layer prepared by a two-step deposition method. Polypyrrole (PPy) as a conductive polymer is used in the perovskite layers which could increase the PCE of CH3NH3PbI3-xClx mixed-halide PSCs. By adding an optimized amount of PPy, PCE has been raised from 10.4 to 13.2%. PPy acts as a conductive channel facilitating the extraction of the charge carriers and easing their transport in the perovskite layer. The crystallization is also affected by PPy which is advantageous to form smooth perovskite layers with fewer voids.",Solar Energy,Elsevier BV,False,analysis,False
10.1016/j.mtphys.2024.101564,"Efficient and stable perovskite solar cells based on multi-active sites 5-amino-1,3,4-thiadiazole-2-thiol modified interface","Efficient and stable perovskite solar cells based on multi-active sites 
5-amino-1,3,4-thiadiazole-2-thiol modified interface
Jing Xu , Jihuai Wu *, Qingshui Zheng , Lin Gao , Sheng Tang , Fuda Yu , Weihai Sun **,  
Zhang Lan ***
Engineering Research Center of Environment-Friendly Functional Materials, Ministry of Education, College of Materials Science and Engineering, Huaqiao University, 
Xiamen, 361021, Fujian, China
A R T I C L E I N F O
Keywords:
Perovskite solar cells
Interfacial passivation
5-Amino-1,3,4-thiadiazole-2-thiol (AMTD)
Multi-active sites
A B S T R A C T
The highest certification efficiency of perovskite solar cells (PSCs) has reached 26.7 %. However, the high defect 
density on the surface of perovskite films prepared by low temperature solution method and the energy mismatch 
between the carrier transport layers and perovskite layer (PVK) greatly limit the performance improvement of 
PSCs. The introduction of passivating agent to modify the perovskite interface and grain boundary can reduce the 
defect density, coordinate the energy level effectively, and improve the efficiency and stability of devices. A 
Lewis base molecule 5-amino-1,3,4-thiadiazole-2-thiol (AMTD) with multiple active sites is introduced at the 
interface between PVK and hole transport layer (HTL). The electron-rich groups, such as = S, –S–, –NH2, –N on 
AMTD, passivate the positive electrical defects on the interface and grain boundary, and increase carrier 
transport efficiency. The interfacial energy level array is optimized to achieve m",Materials Today Physics,Elsevier BV,False,review,False
10.1021/acsomega.4c00208,Reduced Surface Trap States of PbS Quantum Dots by Acetonitrile Treatment for Efficient SnO<sub>2</sub>-Based PbS Quantum Dot Solar Cells,"High Resolution Image Download MS PowerPoint Slide The solution-phase ligand-exchange strategy offers a simple pathway to prepare PbS quantum dots (QDs) and their corresponding solar cells. However, the production of high-quality PbS QDs with reduced surface trap state density for efficient PbS QD solar cells (QDSCs) still faces challenges. As the hydroxyl group (−OH) has been demonstrated to be the primary source of the surface trap states on PbS QDs in the general oleic acid method, here, we present an effective and facile strategy for reducing the surface −OH content of PbS QDs by using acetonitrile (ACN) as precipitant to wash the surface of QDs, which significantly decreases the trap state density and enables the preparation of superior PbS QDs. The resulting solar cell with an ITO/SnO 2 /n-PbS/p-PbS/Au structure obtained an improved photoelectric conversion efficiency (PCE) from 8.53 to 10.49% with an enhanced air storage stability, realizing a high PCE for SnO 2 -based PbS QDSCs.",ACS Omega,American Chemical Society,False,"Focuses on PbS quantum dot solar cells, not perovskite PSCs.",False
10.1021/acsaem.0c02438,"Donor–Acceptor Type Polymers Containing Fused-Ring Units as Dopant-Free, Hole-Transporting Materials for High-Performance Perovskite Solar Cells","Hole-transporting layer (HTL) plays a key role in most high-efficiency perovskite solar cells (PVSCs). Especially in the n-i-p conventional PVSCs, HTL promotes device performances through multiple ways, including hole injection and transport, interface optimization, inhibition of charges recombination, and protection of the perovskite active layer from oxygen, water, and metal electrode. Although spiro-based small-molecular hole-transporting materials (HTMs) brought PCE records of PVSCs one by one, the poor film quality and requirement of additives brought some negative effects on the long-term stability of the devices. Therefore, dopant-free, compact polymeric HTLs attract intensive attention as potential alternatives to doped spiro-based ones. Among polymeric HTMs, electron donor (D)–acceptor (A)-type polymers become promising HTMs owing to the superior hole-transporting properties. In this work, two D–A polymers containing fused rings perform as dopant-free HTMs. The fused-ring ladder-type units can facilitate carrier transport, electron donation, and π–π stacking interactions. Polymers PDT-T and PDTT-T employ the same A unit of BDD and π-bridge of thiophene and different D units of IDT and IDTT. Both polymers exhibit favorable properties as HTMs including high hole mobility, well-matched energy levels, and excellent film-formation ability. Along with a peak PCE of 19.02%, the superior device stabilities of the PVSCs employing dopant-free PDT-T and PDTT-T over the reference devices confirm the significance of precise molecular design on fused-ring polymeric HTMs for the long-life PVSCs.",ACS Applied Energy Materials,American Chemical Society,False,Not single‑junction PSCs – focuses on HTL material development,False
10.1039/d3tc03458e,High-performance wide-bandgap perovskite solar cells with an enhanced photon-to-electron response of near-infrared wavelengths,"15898 | J. Mater. Chem. C, 2023, 11, 15898–15906
This journal is © The Royal Society of Chemistry 2023
Cite this: J. Mater. Chem. C, 2023,
11, 15898
High-performance wide-bandgap perovskite solar
cells with an enhanced photon-to-electron
response of near-infrared wavelengths†
Zhihai Liu,
a Lei Wang,b Xiaoyin Xie,
*c Chongyang Xu,*d Chao Zhang
a and
Ping Chen*a
Wide-bandgap perovskite solar cells (PSCs) have been intensively investigated owing to their strong light
absorption of short wavelengths and high open-circuit voltage. In this study, we improved the
performance of wide-bandgap (1.74 eV) PSCs by incorporating a non-fullerene acceptor of Y6 into a
Cs0.12MA0.05FA0.83Pb(I0.6Br0.4)3 perovskite film, which could enhance the photon-to-electron response
at near-infrared wavelengths. Due to the Lewis-base groups, inserting Y6 could eﬀectively passivate the
vacancy-induced defects in the perovskite film, which further facilitated the charge transport of the
PSCs. As a result, the power-conversion-eﬃciency (PCE) of the wide-bandgap PSCs was significantly
improved from 17.6% to 19.8% (on average), which was mainly induced by the conspicuously enlarged
short-circuit current density. With the introduction of Y6, the long-term stability of the PSCs (without
encapsulation) was simultaneously enhanced with the PCE degradation significantly decreased from
33.5% to 16.7% after a duration of 15 days. The best PSC with Y6 exhibited a highest PCE of 20.2%, with
a stable power output and negligible hysteresis. The results of this research de",Journal of Materials Chemistry C,Royal Society of Chemistry (RSC),False,"Abstract mentions wide‑bandgap perovskite, not single‑junction",False
